Year,Grader,Grade Type,Grade,Inventory #,Mint Location,DL Toning Degree,Brilliance Obverse,Brilliance Reverse,Toning Obverse,Toning Reverse,EdgeFreq Flat Obverse,EdgeFreq Flat Reverse,EdgeFreq Descriptive Obverse,EdgeFreq Descriptive Reverse,EdgeFreq RedOrange Obverse,EdgeFreq RedOrange Reverse,EdgeFreq Yellow Obverse,EdgeFreq Yellow Reverse,EdgeFreq Green Obverse,EdgeFreq Green Reverse,Unnamed: 21,Unnamed: 22
1880,NGC,MS,64,2160423,Carson City,2,10.0,10.0,0.35,0.65,2153,3644,204129,255711,29305,46223,128336,91059,35707,100579,,
1889,PCGS,MS,62,2270219,San Francisco,2,10.0,10.0,0.0,0.0,3303,1740,191047,218519,29787,38649,119328,78111,27212,77452,,
1891,PCGS,MS,62,2381850,Philadelphia,3,10.0,10.0,0.0,0.0,3454,3793,200134,222975,31358,39454,124789,83014,29372,83293,,
1878,PCGS,MS,65,1888319,San Francisco,1,9.0,8.0,1.4,0.0,2523,2015,200231,210957,29168,38272,107690,65734,32486,79746,,
1882,NGC-GSA,MS,64,2243994,Carson City,1,10.0,10.0,0.0,0.0,3742,2903,187432,219973,25556,38832,121414,79541,25650,82231,,
1884,PCGS,MS,65,2447917,New Orleans,1,10.0,10.0,0.0,0.0,1446,2716,165981,215692,18820,39412,121089,81874,26204,85226,,
1892,NGC,MS,63,2291636,Philadelphia,1,10.0,10.0,0.0,0.0,3954,3058,199847,231015,37358,41949,131442,83869,27054,82160,,
1883,NGC,MS,64,2260545,New Orleans,3,5.0,10.0,1.35,0.0,5532,2884,226103,229267,41044,44201,132707,78228,39131,90151,,
1888,NGC,MS,64,2298757,New Orleans,2,10.0,9.0,0.0,0.0,2805,4075,171330,203762,24561,39168,115484,76157,23990,81471,,
1900,PCGS,MS,64,2076152,San Francisco,1,10.0,10.0,0.0,0.0,2943,1553,197611,237409,30584,37452,116898,85614,28742,81616,,
1889,PCGS,MS,64,2257083,Philadelphia,1,10.0,10.0,0.0,0.0,3127,1515,194865,230164,24960,33802,121331,77869,22834,80238,,
1887,PCGS,MS,65,2038596,New Orleans,2,9.0,9.0,0.0,0.0,2897,1082,162547,172563,27206,26177,103237,65714,27511,71091,,
1891,PCGS,MS,64,2054120,New Orleans,1,10.0,10.0,0.0,0.0,1675,1919,179170,214181,22510,35193,119050,83566,23711,76957,,
1921,PCGS,MS,65,2288127,Philadelphia,2,10.0,10.0,0.65,0.0,3228,3695,220884,246459,30663,46571,134382,92621,34593,88363,,
1884,PCGS,MS,64,2241130,Carson City,2,10.0,10.0,0.35,0.35,4851,2597,182259,209612,31845,34146,114825,77159,28116,81992,,
1880,PCGS,MS,65,2255060,San Francisco,3,9.0,9.0,1.05,0.0,5332,1838,181875,212113,29697,40625,100979,60679,30008,80820,,
1921,NGC,MS,63,2223447,Philadelphia,0,10.0,10.0,0.0,0.0,5240,2465,202625,213029,33775,37119,121702,80355,22544,72985,,
1900,PCGS-CAC,MS,66,1861219,Philadelphia,1,10.0,10.0,0.0,0.0,1195,1584,213053,257762,21594,36727,120030,89795,33612,89320,,
1899,NGC,MS,64,2253551,Philadelphia,2,10.0,10.0,0.0,0.0,3814,3139,190204,207078,29561,37216,120277,78875,25123,77487,,
1883,PCGS,AU,58,2288619,New Orleans,3,9.0,9.0,0.0,0.0,3970,3512,193183,237115,34759,43407,128900,89360,27715,87406,,
1899,PCGS,MS,63,1857758,New Orleans,3,10.0,10.0,0.7,0.7,4720,2956,206652,240512,40590,41842,124084,85939,36678,93530,,
1881,NGC,MS,66,2461427,Philadelphia,1,10.0,10.0,0.0,0.0,1027,1916,190694,211654,19669,36571,120076,81736,24294,72500,,
1891,PCGS,MS,62,2025081,New Orleans,1,10.0,10.0,0.0,0.0,4138,1779,195236,222873,37945,32720,118031,85949,33020,86925,,
1885,NGC,MS,64,2260551,Philadelphia,3,8.0,10.0,0.65,0.35,1763,2456,160496,212865,22344,37907,95324,79471,28386,79677,,
1887,NGC,MS,64,2248065,Philadelphia,3,5.0,10.0,1.35,0.35,2071,1101,203611,212777,26943,39145,114676,75911,34630,88931,,
1903,PCGS-CAC,MS,65,1885861,Philadelphia,1,10.0,10.0,0.0,0.0,2532,1783,207695,243155,26016,35524,119191,87508,31159,87763,,
1897,ICG,MS,63,2248055,San Francisco,1,10.0,10.0,0.0,0.0,5292,2447,186703,201824,31741,33082,108117,70776,25074,72748,,
1880,ANACS,MS,63,2453573,Philadelphia,1,10.0,10.0,0.0,0.0,2412,2409,181730,220278,27620,37960,118941,78079,28512,83713,,
1883,PCGS-CAC,MS,64,2195394,New Orleans,3,9.0,9.0,2.3,2.3,5389,1848,186109,189058,47181,38957,121691,73249,25426,71036,,
1891,PCGS,MS,66,2259017,Philadelphia,2,10.0,10.0,0.0,0.35,1648,1492,161951,195408,21615,34061,117944,76255,19149,72226,,
1879,PCGS,MS,64,2087683,New Orleans,2,10.0,10.0,1.75,0.0,3821,1275,179377,209632,32120,36924,118930,86040,26991,76648,,
1880,PCGS,MS,68,2234690,San Francisco,1,10.0,10.0,0.0,0.0,1433,985,169307,213597,16513,29407,98159,72293,24527,76611,,
1887,NGC,MS,61,2184454,San Francisco,2,10.0,10.0,0.0,0.0,6558,2693,202213,215644,35151,37704,124634,75287,37244,85162,,
1887,PCGS,MS,62,2462923,Philadelphia,1,10.0,10.0,1.05,0.0,2015,2960,196831,239524,25089,41074,124038,85406,27331,83452,,
1880,PCGS,MS,67,1880905,San Francisco,2,9.0,10.0,3.05,1.0,2566,1456,185324,233066,28085,33791,108774,84148,28787,85624,,
1883,PCGS,MS,64,1883789,Carson City,1,10.0,10.0,0.0,0.0,2243,1080,188390,231224,24801,35480,115541,89262,31876,84612,,
1897,PCGS,MS,66,2295120,Philadelphia,1,10.0,9.0,0.0,0.0,3692,1801,211598,242461,33045,38561,122551,80988,31535,91927,,
1921,PCGS,MS,64,2068721,Philadelphia,2,10.0,10.0,0.0,0.0,2596,2235,195615,232958,26507,38083,121913,85937,27822,78519,,
1883,PCGS,MS,62,2114246,San Francisco,3,9.0,10.0,2.4,1.0,10025,5285,201257,218118,53891,49799,109753,75919,37179,79424,,
1921,NGC,MS,65,2125817,Philadelphia,2,10.0,10.0,0.0,0.0,3244,2688,197504,232784,27035,40132,121605,80031,31840,88858,,
1883,PCGS,MS,65,2287714,Carson City,2,10.0,10.0,0.0,0.0,2518,1213,194945,199971,28710,35922,117890,71039,21138,73320,,
1882,NGC,MS,62,2287582,San Francisco,3,10.0,9.0,2.95,1.95,3515,2844,148658,173929,26620,34107,105053,59042,26138,71541,,
